order_date,region,category,channel,customer_segment,product_id,quantity,unit_price,discount_pct,revenue,is_returning_customer,notes
2025-06-26,East,Toys,Retail Store,Enterprise,SKU-1047,6,115.4,0.1,623.16,False,
2025-11-09,South,Apparel,Partner,Consumer,SKU-1094,7,48.66,0.1,306.56,True,
2025-12-03,West,Toys,Online,Consumer,SKU-1084,10,82.71,0.2,661.68,False,promo code applied
2025-06-28,West,Sports,Online,SMB,SKU-1052,3,92.74,0.0,278.22,True,
2026-05-12,South,Apparel,Online,Enterprise,SKU-1036,3,35.53,0.1,95.93,True,expedited shipping requested
2025-09-19,Central,Toys,Online,Consumer,SKU-1022,9,36.44,0.0,327.96,False,bulk order
2025-03-03,North,Electronics,Partner,SMB,SKU-1088,2,30.93,0.15,52.58,False,
2026-03-08,South,Books,Retail Store,Consumer,SKU-1058,9,30.16,0.0,271.44,True,expedited shipping requested
2025-07-08,Central,Electronics,Partner,SMB,SKU-1109,11,84.39,0.15,789.05,True,first-time customer
2025-03-17,North,Apparel,Partner,Enterprise,SKU-1083,4,68.27,0.15,232.12,False,
2025-05-27,Central,Sports,Online,SMB,SKU-1004,8,70.43,0.15,478.92,True,first-time customer
2026-01-09,Central,Books,Online,Consumer,SKU-1079,9,37.26,0.2,268.27,False,
2025-08-29,East,Electronics,Online,Consumer,SKU-1003,11,65.63,0.0,721.93,True,promo code applied
2024-12-06,West,Apparel,Online,Consumer,SKU-1010,7,34.89,0.0,244.23,False,expedited shipping requested
2025-06-24,South,Home & Kitchen,Online,Enterprise,SKU-1067,7,24.97,0.05,166.05,True,
2025-08-14,South,Toys,Retail Store,Consumer,SKU-1015,8,148.6,0.0,1188.8,True,
2025-01-04,West,Apparel,Online,Consumer,SKU-1061,7,19.7,0.05,131.0,False,
2025-02-08,West,Electronics,Online,Consumer,SKU-1070,5,31.88,0.15,135.49,True,
2025-04-10,South,Home & Kitchen,Partner,Consumer,SKU-1022,1,53.25,0.1,47.92,False,bulk order
2026-05-23,West,Books,Online,Consumer,SKU-1049,7,52.04,0.2,291.42,False,
2025-04-30,North,Home & Kitchen,Online,Consumer,SKU-1034,10,29.1,0.0,291.0,True,
2026-03-16,South,Electronics,Marketplace,SMB,SKU-1001,10,52.6,0.1,473.4,True,
2025-08-20,East,Home & Kitchen,Online,Consumer,SKU-1070,9,24.64,0.1,199.58,True,first-time customer
2026-05-18,South,Electronics,Online,Consumer,SKU-1024,8,28.68,0.0,229.44,False,promo code applied
2025-02-12,Central,Sports,Online,Consumer,SKU-1003,7,62.95,0.1,396.58,False,
2025-01-19,West,Electronics,Online,Consumer,SKU-1107,8,44.18,0.15,300.42,True,
2025-02-27,North,Home & Kitchen,Marketplace,Consumer,SKU-1046,9,9.49,0.0,85.41,False,first-time customer
2025-12-11,West,Electronics,Online,Consumer,SKU-1004,3,29.23,0.0,87.69,False,first-time customer
2025-10-08,East,Apparel,Retail Store,SMB,SKU-1022,6,23.95,0.0,143.7,False,
2025-04-05,West,Electronics,Retail Store,SMB,SKU-1064,5,62.88,0.0,314.4,False,promo code applied
2025-06-11,East,Home & Kitchen,Online,SMB,SKU-1047,10,24.04,0.1,216.36,False,promo code applied
2026-03-01,Central,Home & Kitchen,Retail Store,Consumer,SKU-1068,7,31.04,0.1,195.55,False,first-time customer
2024-12-29,West,Electronics,Online,Consumer,SKU-1109,1,76.88,0.05,73.04,True,expedited shipping requested
2025-12-04,Central,Home & Kitchen,Partner,Consumer,SKU-1022,5,202.62,0.1,911.79,True,
2026-02-23,East,Electronics,Online,Enterprise,SKU-1014,2,92.66,0.0,185.32,False,bulk order
2026-01-08,West,Home & Kitchen,Retail Store,Consumer,SKU-1083,8,51.11,0.1,367.99,False,bulk order
2025-04-23,Central,Electronics,Online,Consumer,SKU-1087,10,55.8,0.2,446.4,True,expedited shipping requested
2026-03-05,South,Home & Kitchen,Retail Store,SMB,SKU-1062,4,100.77,0.2,322.46,False,bulk order
2025-08-13,West,Toys,Marketplace,Consumer,SKU-1018,4,56.4,0.0,225.6,True,
2025-11-12,North,Home & Kitchen,Online,SMB,SKU-1083,9,187.99,0.2,1353.53,False,
2025-11-28,North,Books,Online,Consumer,SKU-1097,11,47.7,0.0,524.7,False,
2025-03-07,Central,Toys,Online,SMB,SKU-1106,9,48.51,0.0,436.59,True,expedited shipping requested
2025-07-10,North,Home & Kitchen,Online,Consumer,SKU-1083,11,100.82,0.05,1053.57,False,
2025-09-14,South,Toys,Online,Consumer,SKU-1062,8,20.05,0.15,136.34,False,
2026-04-13,East,Books,Retail Store,Consumer,SKU-1017,8,64.72,0.15,440.1,True,promo code applied
2026-01-14,North,Home & Kitchen,Online,Consumer,SKU-1076,6,11.01,0.2,52.85,True,
2026-05-14,West,Electronics,Online,Enterprise,SKU-1062,9,123.76,0.15,946.76,True,expedited shipping requested
2025-10-17,West,Apparel,Marketplace,Consumer,SKU-1104,1,64.87,0.2,51.9,True,
2025-12-25,East,Books,Online,Consumer,SKU-1091,8,49.91,0.1,359.35,True,first-time customer
2026-03-09,West,Electronics,Partner,Enterprise,SKU-1090,5,35.3,0.05,167.68,False,promo code applied
2025-07-15,West,Books,Retail Store,Consumer,SKU-1057,7,35.59,0.05,236.67,True,expedited shipping requested
2026-03-25,Central,Sports,Retail Store,Consumer,SKU-1089,6,23.58,0.05,134.41,False,gift wrap
2025-08-10,Central,Toys,Online,Consumer,SKU-1061,3,57.18,0.05,162.96,True,gift wrap
2026-03-04,West,Home & Kitchen,Partner,Consumer,SKU-1061,9,63.43,0.0,570.87,False,
2024-12-24,Central,Electronics,Online,Consumer,SKU-1114,2,123.86,0.0,247.72,True,bulk order
2025-06-14,West,Apparel,Online,Consumer,SKU-1013,6,60.19,0.1,325.03,False,first-time customer
2025-06-16,North,Apparel,Partner,Consumer,SKU-1101,6,71.12,0.05,405.38,True,expedited shipping requested
2025-08-21,South,Toys,Retail Store,Consumer,SKU-1011,1,106.37,0.0,106.37,False,first-time customer
2026-05-21,West,Home & Kitchen,Marketplace,Consumer,SKU-1078,8,48.99,0.1,352.73,True,
2026-03-12,South,Sports,Marketplace,Consumer,SKU-1097,5,21.99,0.0,109.95,False,
2024-12-13,South,Home & Kitchen,Online,Enterprise,SKU-1012,4,67.71,0.2,216.67,True,
2025-09-18,East,Home & Kitchen,Partner,Consumer,SKU-1025,7,54.3,0.0,380.1,True,
2025-07-07,North,Apparel,Retail Store,Consumer,SKU-1000,9,57.68,0.0,519.12,True,
2025-07-05,West,Apparel,Online,Consumer,SKU-1072,4,48.35,0.0,193.4,False,
2025-10-14,Central,Home & Kitchen,Partner,SMB,SKU-1114,11,25.72,0.0,282.92,False,bulk order
2024-12-09,North,Electronics,Online,Consumer,SKU-1117,9,28.19,0.1,228.34,True,
2026-04-24,East,Electronics,Online,Enterprise,SKU-1056,8,29.54,0.0,236.32,True,
2025-02-01,North,Sports,Retail Store,Consumer,SKU-1059,7,149.05,0.2,834.68,False,promo code applied
2026-02-02,West,Electronics,Online,Consumer,SKU-1003,11,,0.05,863.59,False,gift wrap
2026-04-19,South,Electronics,Partner,Consumer,SKU-1002,11,38.65,0.05,403.89,False,first-time customer
2025-09-24,East,Home & Kitchen,Online,SMB,SKU-1023,11,40.28,0.0,443.08,True,
2025-02-01,East,Sports,Online,Consumer,SKU-1001,1,99.84,0.0,99.84,False,bulk order
2025-01-24,North,Electronics,Online,SMB,SKU-1044,9,60.17,0.1,487.38,False,promo code applied
2025-10-11,East,Electronics,Partner,SMB,SKU-1090,5,19.3,0.0,96.5,True,promo code applied
2025-01-18,West,Home & Kitchen,Partner,Consumer,SKU-1064,2,74.93,0.0,149.86,True,promo code applied
2025-11-04,South,Electronics,Retail Store,Consumer,SKU-1101,3,21.04,0.2,50.5,True,
2025-08-08,West,Electronics,Online,Consumer,SKU-1113,4,42.47,0.2,135.9,False,
2025-03-11,West,Sports,Partner,Consumer,SKU-1092,6,48.81,0.0,292.86,False,
2026-01-16,North,Electronics,Retail Store,SMB,SKU-1089,8,102.14,0.0,817.12,False,
2025-06-09,Central,Electronics,Marketplace,SMB,SKU-1115,3,35.41,0.0,106.23,False,
2025-05-07,East,Electronics,Online,Consumer,SKU-1018,3,32.8,0.15,83.64,False,
2026-03-23,Central,Apparel,Online,SMB,SKU-1025,11,51.84,0.2,456.19,False,promo code applied
2025-03-18,North,Home & Kitchen,Online,Consumer,SKU-1042,8,90.01,0.0,720.08,True,
2025-02-23,South,Home & Kitchen,Online,Consumer,SKU-1081,3,33.96,0.05,96.79,True,
2024-12-27,Central,Home & Kitchen,Online,Consumer,SKU-1040,11,94.27,0.0,1036.97,False,
2025-08-02,East,Home & Kitchen,Online,Consumer,SKU-1061,1,,0.0,68.81,False,
2025-07-27,South,Books,Retail Store,SMB,SKU-1012,1,78.87,0.15,67.04,False,
2025-02-28,East,Toys,Online,SMB,SKU-1096,2,,0.0,133.56,False,
2025-11-22,South,Home & Kitchen,Online,Consumer,SKU-1024,11,64.09,0.15,599.24,False,expedited shipping requested
2025-05-23,East,Electronics,Online,Consumer,SKU-1075,10,35.01,0.0,350.1,False,expedited shipping requested
2026-01-02,East,Sports,Online,Consumer,SKU-1088,8,46.09,0.1,331.85,True,
2025-04-06,West,Home & Kitchen,Online,Consumer,SKU-1076,6,,0.0,58.2,True,
2025-10-08,West,Electronics,Retail Store,Consumer,SKU-1011,6,54.97,0.0,329.82,False,expedited shipping requested
2025-03-16,Central,Apparel,Online,Consumer,SKU-1038,8,73.22,0.1,527.18,True,promo code applied
2025-11-21,South,Books,Online,Consumer,SKU-1091,7,37.56,0.1,236.63,True,
2025-02-04,Central,Apparel,Online,Consumer,SKU-1073,9,108.55,0.0,976.95,True,first-time customer
2025-06-10,East ,Sports,Online,Consumer,SKU-1059,2,173.41,0.2,277.46,False,
2025-04-22,West,Books,Retail Store,SMB,SKU-1005,10,169.29,0.1,1523.61,True,promo code applied
2025-03-01,Central,Home & Kitchen,Online,Enterprise,SKU-1065,6,59.02,0.05,336.41,True,bulk order
2025-01-26,South,Home & Kitchen,Online,Consumer,SKU-1009,6,28.18,0.0,169.08,True,promo code applied
2026-02-28,North,Electronics,Online,Consumer,SKU-1022,1,13.01,0.0,13.01,False,promo code applied
2025-05-01,Central,Electronics,Online,Consumer,SKU-1016,8,62.15,0.0,497.2,False,
2025-12-26,South,Electronics,Online,Consumer,SKU-1047,4,12.2,0.05,46.36,True,bulk order
2025-01-24,West,Electronics,Online,SMB,SKU-1093,10,102.11,0.0,1021.1,False,
2025-07-06,East,Electronics,Online,Consumer,SKU-1007,5,247.35,0.0,1236.75,True,bulk order
2025-05-31,East,Electronics,Marketplace,Consumer,SKU-1078,3,28.66,0.15,73.08,False,expedited shipping requested
2024-12-23,North,Toys,Online,SMB,SKU-1006,5,,0.0,453.35,False,bulk order
2025-09-04,West,Toys,Retail Store,Consumer,SKU-1104,1,50.23,0.0,50.23,True,gift wrap
2026-01-31,East,Books,Online,Consumer,SKU-1038,5,13.86,0.2,55.44,True,bulk order
2025-02-02,South,Sports,Online,SMB,SKU-1093,3,33.83,0.0,101.49,True,first-time customer
2025-04-25,Central,Electronics,Retail Store,SMB,SKU-1070,9,130.53,0.2,939.82,False,
2025-09-06,Central,Electronics,Online,Consumer,SKU-1005,4,105.81,0.05,402.08,True,bulk order
2026-02-15,West,Electronics,Retail Store,Consumer,SKU-1071,1,70.51,0.0,70.51,True,
2025-04-10,South,Apparel,Online,Consumer,SKU-1070,10,13.75,0.0,137.5,False,bulk order
2025-04-09,North,Electronics,Marketplace,Consumer,SKU-1095,4,39.1,0.15,132.94,True,first-time customer
2025-05-17,Central,Home & Kitchen,Online,SMB,SKU-1001,7,77.08,0.1,485.6,False,gift wrap
2025-01-08,South,Electronics,Online,SMB,SKU-1035,3,23.29,0.15,59.39,True,
2026-03-01,East,Home & Kitchen,Online,SMB,SKU-1054,3,30.47,0.2,73.13,True,expedited shipping requested
2025-08-23,East,Electronics,Marketplace,Consumer,SKU-1052,5,80.18,0.2,320.72,True,gift wrap
2025-12-03,Central,Home & Kitchen,Marketplace,SMB,SKU-1080,7,51.44,0.0,360.08,False,promo code applied
2026-02-09,South,Sports,Retail Store,Consumer,SKU-1033,6,79.63,0.0,477.78,False,bulk order
2025-06-15,South,Home & Kitchen,Partner,SMB,SKU-1066,10,28.58,0.05,271.51,False,promo code applied
2026-04-19,South,Sports,Online,Enterprise,SKU-1012,11,49.84,0.15,466.0,False,
2026-01-30,North,Home & Kitchen,Online,Consumer,SKU-1020,1,46.51,0.0,46.51,False,bulk order
2025-07-29,North,Electronics,Marketplace,Consumer,SKU-1001,4,103.15,0.1,371.34,False,
2025-02-09,Central,Home & Kitchen,Online,SMB,SKU-1024,8,24.54,0.05,186.5,True,
2025-11-23,West,Apparel,Online,Consumer,SKU-1068,2,64.32,0.0,128.64,False,promo code applied
2026-05-17,East,Sports,Online,Consumer,SKU-1019,4,56.94,0.0,227.76,True,
2025-12-24,Central,Electronics,Online,Enterprise,SKU-1058,11,32.59,0.1,322.64,False,bulk order
2025-10-21,West,Apparel,Online,SMB,SKU-1058,5,56.2,0.0,281.0,True,
2025-08-29,Central,Toys,Online,Consumer,SKU-1103,9,36.98,0.15,282.9,False,
2026-03-22,West,Electronics,Marketplace,Consumer,SKU-1080,9,23.59,0.0,212.31,False,gift wrap
2025-02-07,West,Home & Kitchen,Online,SMB,SKU-1079,5,73.77,0.2,295.08,True,
2024-12-17,North,Apparel,Retail Store,Consumer,SKU-1064,10,24.11,0.1,216.99,False,
2026-02-01,West,Books,Retail Store,SMB,SKU-1005,5,30.84,0.2,123.36,False,
2025-06-12,East,Electronics,Online,Consumer,SKU-1040,1,35.76,0.0,35.76,False,first-time customer
2026-04-27,West,Apparel,Marketplace,Consumer,SKU-1071,10,16.17,0.1,145.53,False,
2026-03-13,South,Books,Partner,Consumer,SKU-1087,7,39.12,0.05,260.15,False,expedited shipping requested
2024-12-27,Central,Home & Kitchen,Marketplace,Consumer,SKU-1011,1,54.96,0.15,46.72,True,gift wrap
2026-03-04,North,Books,Marketplace,SMB,SKU-1055,6,19.32,0.0,115.92,False,bulk order
2024-12-15,South,Electronics,Online,Enterprise,SKU-1110,2,50.75,0.2,81.2,True,bulk order
2026-03-31,South,Electronics,Online,Consumer,SKU-1066,8,67.06,0.0,536.48,False,
2025-03-11,West,Electronics,Marketplace,Consumer,SKU-1005,4,16.58,0.2,53.06,False,expedited shipping requested
2026-02-14,North,Home & Kitchen,Marketplace,SMB,SKU-1017,9,66.78,0.0,601.02,False,
2025-12-19,Central,Home & Kitchen,Online,Consumer,SKU-1117,5,136.34,0.0,681.7,False,
2026-03-02,South,Electronics,Partner,SMB,SKU-1111,4,65.92,0.0,263.68,True,gift wrap
2025-12-24,West,Apparel,Online,SMB,SKU-1055,1,13.12,0.05,12.46,True,
2025-03-15,Central,Sports,Online,SMB,SKU-1056,8,31.21,0.15,212.23,False,
2025-07-29,Central,Books,Marketplace,Consumer,SKU-1038,1,44.07,0.2,35.26,False,
2025-03-15,North,Sports,Online,Consumer,SKU-1023,9,86.05,0.2,619.56,False,promo code applied
2025-08-19,West,Electronics,Online,Enterprise,SKU-1102,1,80.73,0.05,76.69,False,promo code applied
2025-05-31,South,Electronics,Online,Consumer,SKU-1085,4,56.25,0.0,225.0,False,
2025-04-20,South,Toys,Partner,Consumer,SKU-1051,11,38.59,0.0,424.49,True,expedited shipping requested
2026-03-22,North,Sports,Online,SMB,SKU-1073,4,83.89,0.05,318.78,True,promo code applied
2026-05-13,West,Apparel,Marketplace,SMB,SKU-1007,3,31.71,0.1,85.62,False,
2026-05-10,North,Apparel,Online,Consumer,SKU-1034,6,52.05,0.0,312.3,False,promo code applied
2025-05-14,West ,Apparel,Online,Consumer,SKU-1102,11,71.92,0.0,791.12,False,
2025-05-19,South,Toys,Online,Consumer,SKU-1048,8,16.26,0.05,123.58,False,
2026-04-03,North,Books,Retail Store,Enterprise,SKU-1039,4,26.79,0.0,107.16,False,expedited shipping requested
2026-01-11,North,Sports,Marketplace,Consumer,SKU-1042,2,15.94,0.2,25.5,True,
2026-02-21,North,Apparel,Marketplace,Consumer,SKU-1013,5,29.56,0.0,147.8,True,first-time customer
2026-05-08,Central,Electronics,Marketplace,Consumer,SKU-1080,5,34.19,0.05,162.4,False,
2025-10-08,South,Apparel,Online,Consumer,SKU-1032,5,22.1,0.05,104.98,True,
2026-03-16,North,Electronics,Online,Consumer,SKU-1118,11,128.5,0.0,1413.5,True,bulk order
2025-08-21,Central,Books,Online,Consumer,SKU-1059,6,55.72,0.1,300.89,False,bulk order
2025-01-14,Central,Toys,Retail Store,SMB,SKU-1084,4,33.05,0.15,112.37,True,
2025-06-22,East,Electronics,Marketplace,Enterprise,SKU-1079,1,28.21,0.0,28.21,False,expedited shipping requested
2026-04-20,South,Books,Marketplace,Enterprise,SKU-1118,11,60.06,0.0,660.66,False,
2025-01-25,South,Toys,Online,SMB,SKU-1075,9,87.6,0.0,788.4,False,
2025-04-15,South,Sports,Retail Store,Consumer,SKU-1071,6,42.87,0.0,257.22,False,promo code applied
2026-04-27,North,Apparel,Online,Consumer,SKU-1099,7,78.97,0.1,497.51,False,promo code applied
2026-01-11,South,Apparel,Retail Store,Consumer,SKU-1111,11,24.61,0.0,270.71,False,promo code applied
